"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,952.331,1225.456,1415.096,1540.514,1484.344,1544.771,1789.896,2260.344,2702.663,2982.853,3417.44,4200.269,5111.345,4728.472,4645.534,5099.813,4781.303,5149.949,5271.744,4665.307,4877.176,5240.469,5864.899,5867.852,5811.393,6804.832,7077.519,7969.183,8571.142,9647.635,10546.323,11114.818,11709.981,12335.335,12994.052
Botswana,1219.569,1057.067,1075.452,1145.987,1097.548,985.391,1288.644,1947.606,2439.381,2628.077,2797.478,2718.95,2729.751,2674.397,2802.477,3084.8,3087.859,3071.641,2886.26,3188.541,3290.347,3099.104,3005.538,4088.461,4743.633,5194.705,5142.914,5371.808,5345.848,4938.25,6041.732,7080.778,6392.987,6436.603,6844.033,5869.738,6411.552,6705.341,6947.818,6679.188,5863.182,7243.863,7725.804,7255.593,7117.095,6943.157,7379.003,7839.955,8350.631,9000.501,9677.728
Brazil,1229.883,1382.548,1446.228,1134.932,1105.852,1719.515,1955.069,2087.445,2289.424,3087.928,3106.116,2677.837,2523.736,2787.164,3495.239,4851.99,5204.574,5321.137,5123.549,3501.438,3751.971,3163.671,2844.405,3077.735,3647.959,4806.171,5906.244,7374.237,8863.269,8640.934,11341.268,13326.088,12465.45,12406.559,12230.669,8893.346,8812.503,10055.567,9281.668,9010.512,7057.072,7951.553,9256.482,10350.437,10252.019,10577.855,10709.355,11236.321,11773.141,12366.845,12999.858
Brunei Darussalam,no data,no data,no data,no data,no data,21770.731,14544.374,16561.019,15281.058,16683.224,19428.846,20171.327,20679.723,20430.168,21350.36,24895.613,24460.83,23344.446,17294.914,18237.075,20473.284,18646.04,19037.814,20975.54,24759.511,29459.699,34869.24,36678.272,42529.703,31287.341,35437.251,47092.346,47776.368,44865.244,41947.487,31353.779,27321.997,28443.168,31074.01,29865.278,27174.73,31781.303,37452.922,33507.412,33947.599,33858.364,35414.068,37426.289,38931.366,40671.539,42165.564
Bulgaria,4286.209,4609.426,4793.655,4913.838,5210.542,4458.09,3946.885,4581.216,7506.638,7678.816,3407.07,336.65,1380.594,758.059,1348.67,2284.824,1494.786,1386.466,1854.468,1689.293,1625.322,1797.392,2090.683,2710.577,3370.382,3869.588,4477.028,5815.474,7161.75,6878.061,6754.23,7872.225,7453.726,7703.869,7925.445,7096.339,7593.706,8409.665,9473.889,9874.073,10215.862,12352.357,14069.944,15892.404,17434.514,20425.72,22895.556,24528.681,26156.789,27781.073,29507.532
Burkina Faso,337.782,287.062,260.938,232.535,202.593,218.262,278.32,315.155,338.675,329.745,380.82,375.312,392.061,364.528,213.778,257.658,273,251.766,280.646,292.729,248.289,259.487,285.452,362.283,403.63,441.408,455.538,514.745,619.37,600.916,625.468,724.897,731.933,759.773,765.059,630.189,663.531,708.45,778.742,767.675,830.473,896.006,829.108,873.612,981.971,1115.018,1245.716,1309.456,1365.473,1423.842,1489.98
Burundi,275.808,278.846,286.136,294.34,259.925,293.924,300.784,275.275,250.649,253.013,245.818,246.484,222.235,192.953,186.903,198.418,169.235,186.404,167.996,157.578,152.88,148.152,132.872,119.817,130.188,147.235,161.893,166.163,189.502,198.432,216.728,230.071,231.685,235.232,250.543,281.005,263.329,275.639,256.051,245.544,244.862,258.815,294.422,313.424,343.603,485.542,618.12,685.867,665.444,634.375,580.094
Cabo Verde,569.223,668.809,522.032,494.441,493.568,542.224,685.354,836.444,997.269,1006.712,1224.464,1284.552,1356.281,1190.076,1247.034,1540.817,1611.23,1568.812,1631.763,1709.177,1689.524,1875.159,2015.386,2524.325,2839.287,3090.988,3174.469,3565.274,4189.744,3918.604,3818.598,4259.084,3958.495,4174.748,4178.127,3560.703,3748.574,4029.572,4431.844,4504.665,3646.827,4072.362,4445.469,4912.817,5328.899,5671.001,6069.475,6467.372,6876.585,7314.311,7760.079
Cambodia,no data,no data,no data,no data,no data,no data,26.504,17.646,33.619,40.935,102.928,222.358,260.32,249.997,273.274,328.965,326.774,313.733,276.835,304.119,313.224,345.368,368.731,406.869,465.695,550.21,639.874,763.623,903.246,912.75,992.085,1133.384,1241.402,1356.991,1485.892,1606.561,1735.785,1888.07,2097.235,2281.377,2136.009,2217.723,2320.719,2492.644,2682.954,2812.212,2938.615,3122.089,3330.62,3560.274,3814.098
Cameroon,1045.363,1150.798,1073.469,1053.149,1083.946,1102.672,1398.748,1575.275,1554.138,1344.964,1305.732,1412.421,1256.23,1272.297,840.622,775.613,840.8,826.993,803.446,796.413,687.01,715.217,786.533,986.635,1131.972,1144.049,1191.518,1325.829,1491.979,1459.803,1399.729,1513.694,1450.016,1575.952,1649.868,1415.143,1441.322,1495.562,1612.164,1555.419,1559.046,1673.205,1608.326,1737.118,1867.693,2027.399,2195.01,2306.746,2418.758,2536.945,2655.982
Canada,11281.422,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.77,24279.8,28340.085,32178.496,36440.967,40559.017,44717.074,46773.744,40989.278,47625.742,52285.815,52745.057,52711.32,51025.428,43628.425,42382.499,45192.368,46617.97,46430.975,43573.195,52912.175,56358.067,54376.269,54531.118,54934.843,58243.586,61047.868,63383.379,65706.301,68445.728
Central African Republic,323.953,327.185,308.837,289.167,274.407,351.719,445.911,480.893,510.675,494.081,556.008,513.746,496.469,421.241,267.512,337.641,295.128,280.942,289.381,282.389,229.526,231.415,248.62,292.741,315.867,333.3,354.363,397.368,450.894,446.774,481.089,536.687,546.805,365.485,440.473,406.443,427.282,461.931,493.485,495.904,499.883,524.745,490.16,537.322,531.112,598.522,650.684,695.9,728.099,762.749,804.472
Chad,212.171,245.633,232.063,226.707,237.375,250.312,299.296,328.89,372.315,340.416,397.24,381.19,384.851,325.735,255.43,302.801,325.43,302.218,329.659,280.127,244.063,289.42,324.655,429.337,666.642,857.713,928.578,1004.499,1196.721,1064.381,1177.208,1349.601,1398.36,1351.028,1330.91,1032.256,897.884,882.852,980.058,929.239,901.743,1003.519,1036.609,1039.994,1075.855,1138.773,1208.56,1236.838,1268.733,1306.534,1346.835
Chile,2598.159,3025.972,2219.964,1774.676,1698.949,1434.434,1515.068,1756.21,2035.335,2305.635,2521.569,2849.743,3392.088,3572.096,4058.557,5153.88,5387.405,5799.339,5475.546,4985.768,5099.922,4608.057,4479.771,4824.87,6183.906,7558.009,9410.392,10447.116,10759.738,10176.733,12723.064,14560.249,15316.01,15740.391,14582.85,13494.489,13722.878,15003.77,15755.003,14551.577,13056.638,16028.325,15193.738,16814.208,16439.479,17180.935,17876.395,18622.564,19320.539,20048.722,20790.795
