"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Luxembourg,17666.822,15190.151,12464.077,12234.721,11984.326,12393.837,17950.08,22149.615,24875.596,26227.017,33067.032,35346.644,39061.19,39483.229,43307.076,50705.305,49719.082,44202.752,45636.752,49341.44,48984.386,48719.314,53227.765,66160.476,77030.646,81728.362,91478.339,108344.425,121616.145,110249.701,112049.15,120526.246,113953.492,121423.168,125199.895,106710.076,107948.007,111211.579,118135.07,113830.259,117570.398,136190.492,125295.365,134402.714,138757.218,146818.025,154115.478,157279.035,160653.795,164038.623,167577.477
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15723.751,16733.977,18461.835,23005.586,25109.973,28970.428,34268.703,38286.226,39822.349,51135.159,66111.715,74209.14,84833.692,86298.091,69647.776,69887.827,77145.531,82695.455,81051.045,37100.934,45329.599,37155.396,66991.283,72906.947,74920.67,77442.645,80605.091,83807.225,87536.471,91272.724
Madagascar,599.371,534.073,522.936,498.801,404.876,383.873,427.478,307.636,297.42,288.402,347.714,280.355,311.649,331.998,279.38,295.539,368.663,309.351,310.104,292.558,307.335,350.5,334.838,387.055,298.635,335.388,355.397,459.855,561.654,488.901,492.67,553.45,538.541,560.939,548.905,481.807,489.439,528.379,535.948,531.75,477.375,509.43,529.174,533.148,569.409,616.221,652.604,691.12,743.399,799.247,859.367
Malawi,460.392,447.79,416.18,419.657,400.328,358.713,354.471,327.758,354.718,384.328,420.593,523.591,422.469,483.263,278.145,319.894,512.064,583.417,373.078,368.272,352.65,338.478,384.137,345.163,365.696,377.042,400.898,432.115,504.65,571.113,623.414,695.331,506.3,446.999,484.322,497.737,415.016,466.559,501.113,543.685,567.59,580.923,567.203,591.286,504.498,622.47,721.417,822.577,922.89,1022.302,1129.791
Malaysia,1926.963,1920.127,2006.482,2189.553,2419.501,2154.458,1864.031,2070.009,2213.866,2380.512,2586.278,2885.568,3378.909,3716.921,4029.272,4671.084,5175.901,5012.378,3521.119,3762.769,4347.73,4189.053,4441.824,4740.324,5244.873,5678.332,6351.127,7480.893,8766.175,7543.882,9046.978,10397.902,10806.823,10851.657,11165.249,9663.124,9523.321,9965.122,11079.614,11228.291,10400.225,11474.232,12490.212,12097.99,12618.72,13900.839,14762.197,15534.353,16375.372,17238.329,18129.004
Maldives,412.508,464.914,534.906,560.243,646.388,737.78,835.636,769.824,897.934,987.814,1091.55,1184.664,1343.012,1479.446,1591.14,1903.164,2107.646,2553.999,2658.855,2842.658,2967.253,2780.451,2952.215,3690.798,4238.046,3960.437,5268.793,6128.48,7337.951,7450.805,8086.697,8078.305,8719.582,9766.235,10787.471,11838.621,12435.588,13373.779,14762.266,15374.179,9803.066,13632.494,15782.056,16637.107,17454.01,18683.902,19682.118,20551.312,21443.139,22373.034,23352.15
Mali,269.702,215.756,186.706,176.519,172.561,170.282,232.205,265.816,262.182,314.128,351.108,350.775,352.992,344.654,258.33,327.664,328.261,301.306,304.736,306.762,256.313,291.161,317.818,371.534,416.089,461.713,493.655,564.224,660.654,664.006,670.917,788.924,734.204,758.487,797.383,704.897,730.654,775.248,835.463,820.232,805.506,862.921,837.298,891.26,930.281,1013.642,1094.493,1136.709,1180.414,1226.662,1274.904
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8906.769,9034.511,9074.529,9544.694,9903.714,10397.838,10403.09,11307.263,13654.823,15276.944,15873.473,16748.278,19655.101,22487.727,21318.804,21989.786,23585.252,23028.989,25617.752,27772.945,25847.297,26738.152,30816.538,34035.11,33145.433,31837.431,38271.621,36417.102,41725.126,45166.804,49277.47,53082.01,55175.69,57411.036,59831.523,62427.26
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2229.856,2241.09,2230.968,2246.583,2426.822,2657.16,2625.136,2634.183,2695.09,2780.785,2904.991,2793.934,2892.871,3043.357,3241.393,3437.541,3595.842,3651.958,3680.813,4143.728,4547.783,4850.533,5274.862,5502.426,6103.305,6118.995,6417.177,7308.833,8286.564,9391.42,10363.001,11127.079,11772.345,12370.108
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,898.741,1002.023,1026.904,852.513,872.712,912.587,904.326,854.319,812.206,773.412,673.361,641.849,634.588,711.709,796.923,963.498,1357.425,1425.466,1647.288,1475.591,1715.923,2012.828,1946.079,2072.492,1826.78,1668.065,1690.813,1758.542,1882.203,1945.05,2040.677,2152.336,2206.776,2420.63,2429.74,2582.099,2716.621,2783.502,2897.469,2994.779,2999.913
Mauritius,1285.181,1202.559,1139.539,1195.617,1094.957,1099.752,1473.694,1852.036,2132.884,2174.94,2590.272,2819.084,3133.035,3191.192,3492.709,3954.762,4047.248,3753.498,3751.708,3911.109,4157.831,4081.162,4252.93,5072.811,5701.753,5590.468,5772.667,6663.186,8138.17,7416.659,8108.095,9320.873,9416.335,9766.77,10366.355,9507.999,9967.673,10844.145,11642.891,11407.849,9010.929,9086.524,10234.545,11187.885,11908.815,12518.848,13362.382,14263.222,15213.175,16221.887,17287.569
Mexico,3557.305,4461.156,3162.5,2519.488,2904.686,3015.01,2043.27,2194.692,2631.484,3144.69,3640.26,4281.697,4873.452,5933.292,6086.828,4109.778,4597.153,5484.708,5759.186,6435.62,7467.739,7902.129,7934.694,7390.343,7806.561,8626.151,9456.912,10063.621,10438.499,8346.772,9632.818,10554.35,10631.077,11099.184,11272.395,9915.089,8999.57,9542.783,9970.967,10251.145,8744.029,10207.315,11287.534,13713.448,14034.2,13966.98,15110.786,15702.403,16336.351,16997.663,17693.641
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2097.493,2082.72,1949.608,2060.275,2064.784,2175.957,2250.77,2255.933,2288.972,2233.5,2340.705,2376.421,2421.552,2511.4,2678.277,2835.375,2975.425,3117.644,3022.055,3055.618,3036.299,3208.161,3563.883,3960.729,4011.106,3837.824,4080.611,4389.219,4689.882,4986.485,5241.065,5492.292,5664.184,5830.626,6000.401,6173.93
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,290.058,373.927,389.592,485.354,572.302,653.525,575.974,398.41,448.062,505.784,569.109,680.272,894.061,1031.422,1179.323,1526.379,2102.942,1890.647,2428.106,2930.062,3031.129,3307.351,3276.874,2734.165,2825.817,3422.643,4121.047,4371.701,4361.472,5213.541,5662.201,6704.941,7510.931,8239.361,8984.47,9983.094,11114.518,12374.298,13750.045
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1288.653,1324.852,722.215,352.304,419.198,647.441,592.439,511.954,480.917,445.544,473.198,521.317,566.403,639.373,789.958,989.177,1321.606,1616.138,2109.269,1687.55,2602.373,3702.359,4281.33,4293.834,4081.015,3800.11,3575.095,3612.716,4078.182,4309.049,3965.097,4482.853,4959.141,5796.476,6712.455,7005.494,7320.212,7637.475,7954.647,8260.142,8588.198
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1594.297,1890.828,2077.739,2741.669,3374.686,3674.385,4422.786,5980.872,7389.204,6719.371,6684.094,7264.239,6556.63,7102.88,7344.064,6421.649,6966.089,7671.578,8677.527,8750.222,7549.44,9322.057,10046.083,12261.695,13259.471,14985.897,16380.285,17210.869,18050.681,18959.106,19899.005
Morocco,1225.165,969.43,953.628,842.002,752.278,741.673,956.733,1030.894,1193.499,1200.487,1351.48,1418.361,1453.799,1340.916,1482.245,1600.892,1738.76,1552.887,1633.979,1604.279,1477.317,1481.074,1566.25,1908.69,2158.703,2232.944,2427.109,2759.516,3189.2,3162.86,3134.698,3367.347,3224.712,3463.601,3519.583,3235.57,3235.218,3401.256,3615.592,3622.679,3375.438,3911.053,3579.092,3945.134,4297.716,4762.729,5154.293,5440.258,5740.005,6052.288,6406.283
Mozambique,396.816,300.914,300.392,263.659,270.38,353.788,413.827,187.301,164.966,171.727,271.733,289.247,202.714,200.623,197.895,197.737,252.506,297.228,330.149,364.482,334.841,310.076,317.135,340.566,398.646,432.738,451.128,498.838,579.997,535.666,484.961,604.414,671.212,672.832,683.942,599.4,433.672,463.005,510.38,512.216,456.582,504.038,572.757,617.189,652.507,690.01,719.924,747.938,773.468,839.492,928.751
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,114.024,140.445,166.487,151.664,145.739,185.465,223.046,249.937,278.334,363.535,515.259,620.27,760.064,1061.467,1154.567,1229.063,1271.967,1144.361,1202.575,1255.257,1272.96,1410.358,1433.067,1021.874,1239.922,1139.912,1122.468,1097.473,1175.939,1277.978,1376.639,1475.61,1497.919
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,1765.605,1908.834,2025.611,2264.913,2099.215,2283.063,2499.33,2433.842,2464.783,2239.46,2179.338,2191.84,1945.166,1811.321,2610.82,3457.577,3747.882,3896.549,4354.324,4180.522,4323.868,5389.682,5841.94,6009.224,5472.955,5449.076,4888.059,4454.9,5210.902,5381.47,4798.261,3937.667,4476.585,4406.551,4235.653,4471.812,4816.295,5182.21,5476.845,5675.327,5932.253,6169.566
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3165.018,3065.634,2929.979,2462.107,3553.349,4729.728,4937.48,6793.304,9873.289,8481.808,9050.306,6976.875,8926.437,9626.435,11426.971,10793.362,10721.849,15027.296,12916.408,12777.181,13592.399,14274.023,14958.977,15445.228,15909.932,16445.286,16962.951
Nepal,145.012,165.722,163.64,174.918,180.8,183.55,195.369,198.419,229.091,226.508,227.511,242.594,214.298,223.947,228.134,241.801,243.799,259.567,253.054,255.484,266.299,269.35,269.116,280.975,318.913,354.645,388.315,439.625,530.191,539.619,667.564,789.577,788.203,803.27,821.107,875.544,877.256,1034.284,1179.198,1203.143,1154.217,1252.832,1385.911,1382.331,1447.31,1535.241,1657.9,1803.509,1975.991,2165.225,2373.091
Netherlands,13769.867,11445.836,11029.128,10697.422,9918.904,10022.158,13894.771,16919.255,17981.469,17622.133,21612.043,22088.922,24226.072,23389.286,24970.81,29393.998,29141.033,26852.99,28057.363,28440.146,26338.584,27055.556,29505.471,35960.302,40652.199,42225.811,45158.785,52182.448,58383.013,53257.987,51472.808,54814.546,50580.212,52680.978,53584.489,45904.668,46936.707,49640.48,54138.331,53755.165,53529.218,60380.434,59540.881,63768.728,67690.232,73173.715,77881.418,80164.639,82392.642,84746.948,87096.887
New Zealand,7255.078,7511.57,7378.887,7072.295,6968.541,6951.336,8382.974,11202.136,13659.06,13111.535,13425.022,12426.453,11750.76,12538.336,14612.26,16932.664,18506.076,18206.677,14889.47,15348.777,14021.862,13669.239,15706.932,20460.331,24849.116,27384.825,26220.228,31910.291,31817.533,28342.325,33479.362,38111.109,39758.041,42117.325,44318.136,38252.412,39453.17,42329.974,42796.836,42396.594,41541.377,49128.727,48177.353,48814.052,48839.3,49383.388,52180.91,53694.871,55167.657,56875.733,58552.355
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,898.199,935.34,947.14,940.143,973.071,999.413,1030.74,1054.66,1011.904,1010.231,1077.784,1152.801,1224.724,1326.658,1498.88,1438.131,1499.068,1652.097,1728.147,1783.56,1909.424,2029.124,2091.463,2147.856,2010.903,1940.178,1924.714,2123.815,2310.001,2601.65,2843.378,2952.674,3083.882,3232.793,3393.459,3562.11,3739.142
Niger,609.433,510.028,458.113,395.659,310.002,295.81,378.695,430.394,426.027,394.734,435.341,394.9,393.718,343.177,211.016,241.954,243.965,224.475,250.234,231.66,197.275,207.769,227.424,267.41,285.39,320.925,335.336,389.258,477.272,462.269,476.064,511.49,528.921,551.557,562.888,484.173,497.885,517.589,570.983,554.124,568.606,593.802,592.621,621.04,707.47,788.616,864.478,903.841,941.204,981.104,1024.104
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,935.182,878.861,742.327,783.748,1074.083,1722.105,2185.066,2309.575,2504.445,667.014,764.707,801.08,1000.265,1064.41,1309.529,1655.912,2112.867,2454.019,3002.356,2630.671,3161.305,3450.625,3733.553,4059.055,4363.355,3650.711,2918.237,2642.355,2897.926,3189.809,2797.831,2789.005,2893.477,2138.585,1083.505,1199.623,1378.284,1450.508,1486.254,1581.562,1682.51
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1263.863,1383.543,1824.418,2387.158,2348.109,1980.429,1888.755,1931.989,1878.237,1839.616,1974.061,2440.813,2810.198,3120.189,3439.886,4204.25,5027.419,4798.698,4837.184,5419.281,5052.953,5629.487,5933.37,5264.132,5605.436,5970.578,6719.639,6720.332,6672.521,7625.26,7619.429,8628.993,9169.275,10377.988,11527.217,12268.966,12953.694,13715.06,14510.047
Norway,15746.262,15484.681,15196.29,14906.174,14968.787,15728.224,18853.038,22445.038,24143.118,24245.515,28187.293,28514.498,30432.89,27880.632,29236.375,34790.001,37225.29,36561.409,34732.137,36300.553,38094.597,38553.843,43083.871,50161.513,57676.821,66924.047,74255.799,85276.992,97119.989,80115.693,87823.805,100815.931,101779.186,103214.973,97302.705,74568.136,70629.25,75940.152,82605.966,76303.704,68275.277,92955.249,108908.039,87276.15,86587.079,91883.687,96580.338,99060.801,101350.553,103761.623,106356.74
Oman,5357.779,6019.899,6317.029,6148.449,6324.402,7025.7,5214.195,5145.493,5001.098,5278.566,7267.924,6806.242,7213.061,6995.28,7010.595,7284.846,7869.076,7983.97,6920.864,7554.515,9266.358,9088.213,9285.343,9792.637,11042.532,13563.457,15946.355,17716.421,25061.257,19235.875,21677.793,23518.573,24129.012,23328.489,23219.693,18924.97,17020.387,17731.849,19885.271,19069.329,17076.319,19458.594,22265.142,20498.607,20059.326,19118.876,19181.581,19484.754,19892.968,20326.961,20707.88
Pakistan,479.064,550.438,584.379,530.372,560.154,545.174,543.594,553.482,621.142,631.367,615.815,684.45,713.395,735.815,723.052,823.987,839.336,807.501,784.545,725.396,733.461,696.936,689.971,771.761,885.149,948.828,1032.277,1146.082,1228.232,1108.978,1137.985,1301.736,1377.776,1390.648,1423.889,1535.348,1566.625,1653.406,1698.034,1500.683,1376.512,1565.575,1651.323,1454.117,1574.095,1706.912,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7818.076,8269.125,8368.74,7889.259,8423.945,9326.276,9766.04,10224.94,10580.881,9969.974,10173.138,10978.351,12320.338,12916.689,13954.214,16036.733,17182.542,16434.026,16341.806,15993.168,14696.881,13394.785,14055.906,15692.226,18276.975,19456.088,20718.247,21885.024,23091.963,24195.024,25344.722
Panama,2147.181,2372.498,2559.911,2568.19,2620.452,2710.915,2756.08,2709.167,2292.975,2251.567,2398.02,2581.241,2872.822,3072.263,3208.947,3213.88,3712.579,3930.652,4175.383,4288.119,4262.875,4245.513,4326.094,4471.169,4809.254,5147.753,5600.145,6352.288,7371.628,7809.319,8335.338,9657.132,11066.924,12277.247,13225.949,14106.829,14871.432,15736.315,16186.562,16539.98,13336.403,15538.412,17399.794,18822.262,19186.922,19802.151,20754.211,21752.044,22797.852,23893.94,25346.692
Papua New Guinea,1380.844,1319.408,1223.39,1194.658,1079.594,975.967,1039.809,1159.833,1565.167,1455.035,1265.882,1444.104,1546.581,1713.713,1834.984,1581.631,1639.773,1527.441,1138.365,1013.232,1007.517,862.099,814.701,995.275,1111.943,1269.526,1411.902,1576.159,1883.527,1833.09,2114.866,2479.19,2796.515,2659.914,2766.349,2466.511,2245.439,2343.574,2366.847,2314.745,2124.796,2216.458,2631.413,2502.025,2511.757,2555.254,2559.993,2600.625,2629.734,2657.341,2695.595
Paraguay,1371.22,1697.024,1726.633,1860.062,1467.468,1217.692,1413.469,1151.136,1482.293,1044.373,1231.683,1707.761,1704.644,1682.644,1781.938,2002.351,2112.359,2101.824,1910.322,1784.382,1752.278,1650.341,1376.627,1452.519,1796.383,1981.582,2451.914,3227.386,4406.598,3962.875,4758.418,5842.3,5687.191,6507.639,6701.172,5922.59,5817.053,6195.767,6301.804,5860.273,5402.468,6008.592,6243.548,6339.468,6455.587,6798.756,7324.156,7656.391,7995.45,8353.343,8730.673
Peru,1150.686,1356.398,1316.278,999.442,1006.416,851.139,1248.386,2015.875,1560.368,1885.285,1285.664,1511.937,1543.242,1469.214,1815.739,2119.375,2163.399,2238.263,2106.752,1872.791,1910.357,1910.299,1998.363,2147.735,2405.294,2677.739,3130.79,3633.714,4272.018,4290.457,5202.808,5904.038,6630.051,6920.562,6894.925,6488.61,6539.146,7087.39,7281.666,7357.801,6436.087,6957.235,7431.91,8057.27,8649.541,9255.722,9397.957,9821.479,10169.094,10521.077,10891.437
Philippines,774.484,829.816,843.471,735.714,678.342,645.597,615.047,666.915,744.307,816.961,828.821,830.407,946.762,949.733,1094.543,1237.311,1316.406,1279.835,988.487,1112.353,1087.287,1003.957,1050.297,1062.619,1137.068,1261.241,1470.825,1764.683,2011.634,1923.674,2237.157,2473.249,2721.252,2903.189,2995.504,3039.234,3107.646,3153.314,3279.519,3512.195,3312.739,3580.009,3644.792,3905.419,4078.977,4320.557,4619.101,4959.693,5332.79,5746.988,6190.541
Poland,1600.046,1502.536,1809.116,2063.405,2048.441,1905.772,1971.702,1696.43,1825.095,1777.645,1634.153,2112.085,2322.905,2359.113,2701.144,3623.586,4078.924,4088.752,4473.073,4361.775,4499.122,5003.492,5221.833,5718.727,6715.106,8046.3,9065.1,11271.071,14052.295,11562.706,12574.314,13867.857,13087.206,13613.905,14263.456,12622.572,12455.033,13917.705,15658.061,15869.042,15963.102,18591.612,18859.803,22119.079,24973.474,28484.671,30651.257,32491.984,34477.431,36488.986,38590.703
Portugal,3338.767,3296.657,3095.098,2838.658,2596.078,2716.647,3774.586,4724.455,5532.625,5977.583,7957.251,9026.309,10863.496,9547.652,9977.624,11787.326,12187.521,11594.778,12216.689,12487.675,11531.467,11734.855,12927.547,15793.822,18055.962,18790.508,19840.493,22813.754,24946.304,23126.079,22570.36,23205.117,20574.028,21642.244,22086.991,19173.726,19914.852,21352.268,23436.023,23192.2,22093.25,24618.869,24558.6,27394.2,28886.507,31414.528,33972.404,35245.851,36600.622,38017.709,39506.807
Puerto Rico,4507.15,4940.784,5146.929,5257.186,5777.438,6058.641,6495.499,6987.398,7579.339,8094.29,8675.576,9093.48,9687.443,10255.532,10942.949,11667.589,12305.024,12968.394,14430.159,15293.182,16192.127,18243.709,18972.77,19820.208,20988.989,21959.317,22935.951,23664.874,24898.335,25768.726,26435.742,27278.853,27944.742,28513.15,28981.343,29755.35,30585.55,31347.273,31549.375,32851.875,32643.179,33258.313,35576.156,36926.516,39612.165,39853.523,40706.63,42163.608,43443.655,44748.454,46060.069
Qatar,27242.483,27819.566,22657.373,18003.756,17496.536,15495.701,11644.458,11773.23,10853.896,11039.938,13150.172,11500.519,13038.976,11797.162,12009.396,13689.653,15143.479,18841.6,15421.783,19689.651,30461.311,28600.029,30701.131,35919.758,42548.115,54357.783,60591.776,65934.266,72484.634,53822.909,69796.138,96827.857,101933.117,99180.39,93054.141,66346.911,57965.377,59127.513,66421.617,63007.696,50962.499,65400.854,80385.391,69540.54,70994.325,71441.418,76534.104,82835.12,86527.493,89153.899,93124.655
Romania,2052.081,2450.352,2441.211,2125.157,1710.302,2101.997,2264.368,2517.949,2593.057,2314.744,1641.855,1241.063,847.68,1147.325,1317.048,1563.117,1565.472,1571.689,1885.349,1600.881,1667.613,1800.966,2108.445,2672.061,3487.699,4608.801,5744.634,8273.885,10446.423,8540.592,8392.775,9547.264,8918.587,9482.448,10025.886,8951.798,9379.115,10717.275,12473.519,12962.103,13056.738,14935.34,15592.939,18412.783,20209.89,22436.007,23767.923,24397.378,25246.897,26681.242,28231.748
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,482.052,1321.758,1979.466,2263.019,2785.402,2932.106,1948.061,1424.158,1898.156,2250.194,2546.771,3190.618,4395.821,5697.629,7416.316,9757.464,12463.775,9160.09,11432.391,14310.213,15284.626,15913.343,13984.458,9231.589,8689.358,10665.28,11182.638,11465.343,10074.759,12423.263,15646.291,14079.095,14871.314,17445.75,17287.361,17830.752,18442.05,19084.076,19753.984
Rwanda,292.782,320.559,329.641,339.297,317.361,364.611,399.283,428.416,442.811,447.143,417.717,298.957,317.043,325.858,223.451,245.276,268.93,345.662,338.306,284.166,266.055,248.99,242.338,257.7,277.634,334.612,368.709,442.334,545.574,585.04,612.395,674.982,730.16,728.38,749.262,758.805,753.905,783.54,797.182,836.313,803.463,854.124,1005.041,1061.641,1028.469,1042.998,1069.196,1102.911,1145.253,1202.831,1278.228
Saint Kitts and Nevis,1333.377,1617.403,1853.275,1834.017,2148.255,2406.875,2847.705,3278.202,3911.612,4386.006,4998.399,5004.43,5507.856,5929.359,6541.204,6956.827,7324.702,8140.022,8375.993,8775.967,9374.415,10052.167,10461.324,10182.052,10959.449,11799.127,13858.979,14779.159,16627.284,16509.725,16591.416,17715.699,17356.19,18257.695,19740.121,19673.675,20535.837,21395.25,21626.029,22086.359,17488.444,16858.613,19099.55,20644.942,20988.655,22157.53,23070.687,24112.514,25219.705,26426.463,27644.909
Saint Lucia,1411.274,1589.058,1479.312,1571.303,1976.229,2200.781,2589.062,2816.381,3180.56,3563.604,4200.978,4394.216,4755.802,4760.861,4888.36,5143.208,5239.997,5279.522,5667.451,5879.228,5875.92,5565.558,5563.749,6054.506,6490.831,6859.33,7605.737,7931.492,8450.258,8239.063,8676.827,9131.237,9259.731,9577.216,10044.83,10334.98,10638.133,11333.12,11642.689,11794.236,8479.012,10470.677,13052.868,13367.086,14269.792,14647.443,15162.972,15736.309,16331.17,16915.912,17488.714
Saint Vincent and the Grenadines,902.288,1109.003,1225.849,1307.425,1433.444,1535.254,1683.94,1826.069,2075.034,2208.592,2453.139,2580.794,2811.475,2892.329,2920.291,3184.394,3336.236,3495.741,3750.893,3917.695,3968.359,4276.614,4515.858,4703.68,5077.326,5349.916,5929.693,6567.595,6729.083,6564.124,6611.061,6541.45,6657.291,6995.358,7031.278,7152.716,7389.41,7641.501,8001.555,8224.485,7802.906,8015.861,8752.136,9626.026,10459.264,11132.381,11663.213,12203.537,12768.893,13360.441,13979.393
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1655.952,1509.117,1552.03,1557.508,1638.535,1927.085,2341.911,2704.296,2850.163,3121.319,3733.905,3348.774,3658.418,3969.173,4088.771,4182.937,4153.039,4260.583,4325.408,4496.277,4390.958,4448.827,4308.015,4213.686,4306.431,5009.431,5582.007,5886.586,6252.63,6522.752,6768.301,7073.934,7342.161
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,59313.405,61150.61,64498.508,72991.531,79110.201,67011.543,60426.235,57512.891,50336.185,51986.532,51234.869,43068.693,44308.666,45887.687,49477.281,48043.86,45640.984,54733.239,53875.751,59415.472,60811.342,65269.006,69493.436,71269.301,73235.383,75324.647,77492.408
Saudi Arabia,19543.4,20846.201,16507.657,13252.612,11687.983,9666.717,7698.924,7221.944,7083.156,7287.351,8562.256,9143.253,9242.65,8740.725,8663.672,8957.496,9666.949,9858.984,8512.519,9144.592,10448.562,9898.304,9937.43,11027.928,12891.332,15943.418,17827.384,19196.057,23403.639,18836.955,22028.368,27126.75,28733.427,27865.456,27805.466,23256.173,22267.722,23929.282,29360.031,29566.714,24318.285,31920.765,38510.236,36156.848,35121.67,35230.932,35839.34,36807.371,37908.734,39054.534,40157.396
Senegal,767.972,677.895,645.372,559.501,529.936,563.251,773.09,902.228,865.668,828.149,936.148,894.485,930.568,852.61,560.956,693.418,706.864,642.569,686.369,689.683,614.004,648.446,680.83,831.623,931.745,993.237,1027.786,1197.551,1403.795,1307.516,1272.622,1366.534,1318.614,1372.686,1397.017,1219.373,1269.553,1361.221,1458.73,1436.224,1465.244,1603.346,1569.896,1690.403,1758.552,1921.391,2029.801,2075.085,2134.065,2202.082,2284.943
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1709.912,1387.8,1819.149,2399.616,3158.41,3579.921,3782.247,4509.332,6112.693,7362.621,6413.124,5906.586,7085.467,6264.073,7040.423,6886.678,5820.322,5982.37,6548.037,7559.862,7755.633,8098.71,9632.308,10022.969,12281.506,13544.907,15322.201,17291.852,18841.904,20271.475,21880.799,23625.702
Seychelles,2329.353,2403.455,2293.938,2280.452,2338.076,2588.553,3165.945,3638.988,4128.118,4407.201,5302.844,5314.655,6128.346,6559.088,6555.429,6748.825,6583.091,7280.929,7715.784,7747.491,7578.829,7663.083,8431.923,8524.935,10176.659,11093.314,12014.418,12155.702,11480.433,9707.265,10805.099,11647.017,11999.897,14762.223,15189.845,15375.608,16721.449,17738.31,18602.985,19366.719,14235.574,15195.623,20403.958,21917.602,21628.963,21955.934,21939.997,22634.036,23523.47,24455.061,25434.922
Sierra Leone,763.514,798.764,879.697,747.232,859.633,717.241,525.42,447.921,718.879,645.144,349.367,416.697,363.339,412.618,491.526,470.764,507.277,455.422,356.506,348.493,326.755,363.023,400.25,428.381,436.745,497.589,558.944,600.193,666.026,626.712,670.772,751.3,877.148,1003.213,948.288,959.187,837.993,789.13,845.885,843.132,844.456,885.106,860.157,756.046,901.648,979.511,1033.293,1059.627,1082.741,1110.823,1143.153
Singapore,5004.992,5672.105,6000.032,6717.837,7160.262,6788.387,6870.769,7794.688,9328.951,10725.743,12763.342,14501.96,16136.244,18290.132,21552.408,24914.851,26232.869,26375.868,21829.278,21796.642,23852.834,21699.748,22159.833,23730.379,27608.075,29961.308,33768.446,39432.895,40008.577,38926.813,47236.672,53891.462,55547.546,56967.426,57564.802,55645.607,57005.574,61236.251,66881.623,65952.022,61410.094,80056.109,90299.091,85412.252,90674.044,94480.797,99042.422,102626.527,106312.27,110232.902,114244.182
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2605.685,2989.684,3760.786,4043.913,4096.882,4253.636,3873.194,3836.274,3975.697,4619.73,6300.468,8009.02,9103.865,10697.987,14378.782,18065.683,16581.086,16916.415,18486.485,17538.6,18321.709,18785.127,16451.156,16645.425,17651.909,19595.393,19421.492,19723.139,22096.309,21339.766,24671.36,26127.431,28524.477,31025.802,32563.65,34160.128,35681.368,37220.415
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9646.107,8363.794,8474.175,10755.993,10792.457,10452.26,11123.988,11457.877,10193.539,10397.982,11666.411,14736.002,17125.36,18022.5,19613.552,23819.362,27609.896,24563.148,23367.241,24968.511,22474.535,23250.102,24029.664,20705.968,21450.814,23300.425,25987.659,25909.807,25451.13,29199.811,28448.549,32723.735,34346.429,37178.02,40164.347,41909.233,43765.841,45673.493,47678.237
